                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9015,                 8.6109,                  2.157,                0.47395,                0.38737,                0.36193,                 0.1088,                 2.8162,                 1.8862,                 1.2497,              0.0033315,              0.0033315,              0.0033315
                      2,                 2.6031,                 1.4334,                 1.1066,                0.68568,                0.54453,                0.59866,                0.21432,                 2.2895,                  1.534,                 1.0515,              0.0066615,              0.0066615,              0.0066615
                      3,                 2.3026,                   1.19,                 1.0311,                0.76556,                0.64335,                0.71963,                0.28933,                 2.0445,                 1.0569,                 1.0015,              0.0099882,              0.0099882,              0.0099882
                      4,                 2.1321,                 1.0623,                0.99652,                 0.7844,                0.69591,                 0.7679,                 0.3286,                 1.9087,                0.94591,                0.96734,              0.0099851,              0.0099851,              0.0099851
                      5,                  2.015,                0.96919,                0.97242,                0.81855,                0.73405,                0.81241,                0.35897,                 1.8327,                0.89318,                0.95571,              0.0099802,              0.0099802,              0.0099802
                      6,                  1.953,                  0.923,                0.95976,                 0.8418,                0.76138,                0.83893,                0.38418,                 1.7567,                0.83941,                0.93737,              0.0099753,              0.0099753,              0.0099753
                      7,                  1.891,                0.88292,                0.95079,                0.82817,                0.74252,                 0.8224,                 0.3657,                 1.7943,                0.82861,                0.93994,              0.0099703,              0.0099703,              0.0099703
                      8,                 1.8347,                0.85098,                0.94288,                0.84963,                0.77244,                0.85359,                0.40035,                 1.7189,                0.79328,                0.93108,              0.0099654,              0.0099654,              0.0099654
                      9,                 1.7893,                0.82616,                0.93626,                0.84927,                0.77346,                0.85511,                0.39357,                   1.72,                0.77518,                0.92751,              0.0099604,              0.0099604,              0.0099604
                     10,                 1.7692,                0.81186,                0.93084,                0.86038,                 0.7894,                0.87226,                0.41753,                 1.6673,                0.74907,                0.92148,              0.0099555,              0.0099555,              0.0099555
                     11,                 1.7516,                0.80153,                0.92841,                0.85933,                0.78788,                0.87058,                0.41136,                 1.6648,                0.75702,                0.91573,              0.0099505,              0.0099505,              0.0099505
                     12,                 1.7313,                0.78704,                0.92334,                0.86802,                0.79589,                0.87755,                0.42153,                 1.6487,                0.73681,                0.91619,              0.0099456,              0.0099456,              0.0099456
                     13,                 1.7144,                 0.7748,                0.92131,                0.86378,                0.79629,                0.87611,                 0.4176,                 1.6562,                0.73181,                0.91547,              0.0099406,              0.0099406,              0.0099406
                     14,                 1.7041,                0.77004,                0.91948,                0.86647,                0.80515,                0.88295,                 0.4281,                 1.6264,                0.72016,                0.91181,              0.0099357,              0.0099357,              0.0099357
                     15,                  1.692,                0.76398,                 0.9184,                0.86248,                0.81006,                0.88454,                0.42696,                 1.6256,                0.71375,                0.90948,              0.0099307,              0.0099307,              0.0099307
                     16,                 1.6804,                0.75686,                0.91651,                0.86961,                0.80712,                0.88757,                0.43001,                 1.6148,                0.70926,                0.90709,              0.0099258,              0.0099258,              0.0099258
                     17,                 1.6766,                0.75105,                0.91424,                0.86963,                0.81142,                 0.8899,                 0.4336,                 1.6077,                0.70225,                 0.9061,              0.0099208,              0.0099208,              0.0099208
                     18,                 1.6633,                0.74471,                0.91372,                0.86896,                0.81513,                0.89231,                0.43849,                 1.6047,                0.69765,                0.90672,              0.0099159,              0.0099159,              0.0099159
                     19,                 1.6583,                0.74037,                0.91212,                0.87101,                0.82007,                0.89455,                0.43815,                 1.6026,                0.69132,                0.90525,              0.0099109,              0.0099109,              0.0099109
                     20,                 1.6447,                0.73366,                 0.9103,                 0.8695,                0.81788,                0.89376,                0.43734,                 1.5975,                0.69176,                0.90345,               0.009906,               0.009906,               0.009906
                     21,                 1.6398,                0.73242,                0.90904,                0.87245,                0.81907,                0.89589,                0.44206,                 1.5883,                0.68657,                0.90341,               0.009901,               0.009901,               0.009901
                     22,                 1.6379,                0.72766,                 0.9084,                0.87192,                0.82143,                0.89804,                0.44316,                 1.5847,                0.68116,                0.90223,              0.0098961,              0.0098961,              0.0098961
                     23,                 1.6336,                0.72526,                 0.9072,                0.87156,                0.82345,                0.89802,                0.44362,                  1.587,                0.68111,                0.90406,              0.0098911,              0.0098911,              0.0098911
                     24,                 1.6271,                0.72248,                0.90822,                0.87184,                0.82395,                0.89828,                0.44278,                 1.5856,                0.68075,                0.90224,              0.0098861,              0.0098861,              0.0098861
                     25,                 1.6204,                0.71732,                0.90617,                0.87592,                 0.8244,                0.90103,                 0.4454,                 1.5777,                  0.676,                0.90014,              0.0098812,              0.0098812,              0.0098812
                     26,                 1.6182,                0.71863,                0.90439,                0.87365,                0.82424,                0.90068,                0.44522,                 1.5754,                0.67403,                0.89923,              0.0098763,              0.0098763,              0.0098763
