                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 2.2228,                 2.6206,                 2.0813,                0.48757,                0.36581,                0.35909,                0.11991,                 2.3974,                 1.9215,                 1.9003,              0.0098911,              0.0098911,              0.0098911
                     35,                 2.1772,                 2.5666,                 2.0566,                0.56042,                0.34865,                0.37185,                0.14561,                 2.3523,                 1.9032,                 1.8287,              0.0098878,              0.0098878,              0.0098878
                     36,                 2.1898,                 2.5845,                  2.058,                0.54268,                0.33856,                0.36861,                0.15003,                 2.2832,                 1.9337,                  1.781,              0.0098845,              0.0098845,              0.0098845
                     37,                  2.189,                 2.6133,                 2.0531,                0.54551,                0.39585,                0.40415,                 0.1502,                 2.2742,                 1.8036,                 1.8161,              0.0098812,              0.0098812,              0.0098812
                     38,                 2.1817,                 2.5497,                 2.0633,                0.55992,                0.37171,                0.36909,                0.16409,                  2.199,                 1.8368,                  1.778,              0.0098779,              0.0098779,              0.0098779
                     39,                 2.1713,                 2.5905,                 2.0227,                0.53373,                 0.4127,                0.41268,                0.17629,                 2.1877,                  1.967,                   1.72,              0.0098746,              0.0098746,              0.0098746
                     40,                 2.1508,                 2.5434,                 2.0349,                0.48631,                0.40459,                0.39576,                0.17755,                 2.1744,                 1.8698,                 1.6981,              0.0098713,              0.0098713,              0.0098713
                     41,                 2.1518,                 2.4882,                 2.0253,                0.73622,                0.40849,                 0.4261,                0.20283,                 2.1456,                 1.6793,                 1.6655,               0.009868,               0.009868,               0.009868
                     42,                  2.153,                 2.4935,                 2.0106,                   0.76,                0.37433,                0.40887,                0.20407,                 2.1471,                 1.6075,                 1.6636,              0.0098647,              0.0098647,              0.0098647
                     43,                 2.1324,                 2.4472,                 1.9989,                 0.7115,                0.40173,                0.41099,                0.18625,                 2.2926,                 1.6859,                 1.8035,              0.0098614,              0.0098614,              0.0098614
                     44,                 2.1463,                 2.4756,                 2.0111,                 0.6948,                0.42445,                0.41324,                0.17491,                 2.3278,                 1.6967,                 1.8086,              0.0098581,              0.0098581,              0.0098581
                     45,                 2.1121,                 2.4038,                 1.9916,                0.73899,                0.43313,                0.44246,                0.16469,                  2.238,                 1.6591,                 1.7833,              0.0098548,              0.0098548,              0.0098548
                     46,                 2.0955,                 2.4076,                 1.9565,                0.72514,                0.41051,                0.41728,                0.18741,                 2.1277,                 1.6931,                 1.7031,              0.0098515,              0.0098515,              0.0098515
                     47,                 2.1058,                 2.4174,                 1.9842,                0.58153,                 0.4192,                0.43713,                0.17685,                 2.2847,                 1.6638,                 1.8088,              0.0098482,              0.0098482,              0.0098482
                     48,                 2.0901,                 2.4607,                 1.9901,                0.61712,                 0.4204,                0.44523,                0.20482,                 2.0469,                 1.6365,                 1.6438,              0.0098449,              0.0098449,              0.0098449
                     49,                 2.0983,                 2.4477,                 1.9807,                0.72444,                0.43536,                0.43811,                 0.1747,                  2.159,                 1.6693,                 1.6774,              0.0098416,              0.0098416,              0.0098416
                     50,                 2.1014,                 2.3711,                 1.9614,                0.74381,                0.44385,                0.46977,                0.19949,                 2.1551,                 1.6903,                 1.6745,              0.0098383,              0.0098383,              0.0098383
                     51,                 2.1043,                 2.3611,                 1.9606,                0.75229,                0.43623,                0.46316,                0.19795,                 2.0862,                 1.4768,                 1.6288,               0.009835,               0.009835,               0.009835
